class,mean_res_min, mean_res_max
1,9.22,1000
2,8.80,9.22
3,8.43,8.80
4,8.16,8.43
5,7.86,8.16
6,7.36,7.86
7,6.87,7.36
8,6.36,6.87
9,5.80,6.36
10,0,5.80
