region,clusters,gen_gid
PACE_UT,2,271033
PACE_UT,2,271990
PACE_UT,2,271991
PACE_UT,2,271992
PACE_UT,2,271993
PACE_UT,2,271994
PACE_UT,2,271995
PACE_UT,2,272947
PACE_UT,2,272948
PACE_UT,2,272949
PACE_UT,2,272950
PACE_UT,2,272951
PACE_UT,2,272952
PACE_UT,2,272953
PACE_UT,2,272954
PACE_UT,2,272955
PACE_UT,2,272956
PACE_UT,2,273903
PACE_UT,2,273904
PACE_UT,2,273905
PACE_UT,2,273906
PACE_UT,2,273907
PACE_UT,2,273908
PACE_UT,2,273909
PACE_UT,2,273910
PACE_UT,2,273911
PACE_UT,2,273912
PACE_UT,2,273913
PACE_UT,2,273914
PACE_UT,2,273915
PACE_UT,2,273916
PACE_UT,2,273917
PACE_UT,2,273918
PACE_UT,2,274861
PACE_UT,2,274862
PACE_UT,2,274863
PACE_UT,2,274864
PACE_UT,2,274865
PACE_UT,2,274866
PACE_UT,2,274867
PACE_UT,2,274868
PACE_UT,2,274869
PACE_UT,2,274870
PACE_UT,2,274871
PACE_UT,2,274872
PACE_UT,2,274873
PACE_UT,2,274874
PACE_UT,2,274875
PACE_UT,2,274876
PACE_UT,2,274877
PACE_UT,2,274878
PACE_UT,2,274879
PACE_UT,2,274880
PACE_UT,2,275819
PACE_UT,2,275820
PACE_UT,2,275821
PACE_UT,2,275822
PACE_UT,2,275823
PACE_UT,2,275824
PACE_UT,2,275825
PACE_UT,2,275826
PACE_UT,2,275827
PACE_UT,2,275828
PACE_UT,2,275829
PACE_UT,2,275830
PACE_UT,2,275831
PACE_UT,2,275832
PACE_UT,2,275833
PACE_UT,2,275834
PACE_UT,2,275835
PACE_UT,2,275836
PACE_UT,2,275837
PACE_UT,2,275838
PACE_UT,2,275839
PACE_UT,2,275840
PACE_UT,2,275841
PACE_UT,2,275842
PACE_UT,2,276777
PACE_UT,2,276778
PACE_UT,2,276779
PACE_UT,2,276780
PACE_UT,2,276781
PACE_UT,2,276782
PACE_UT,2,276783
PACE_UT,2,276784
PACE_UT,2,276785
PACE_UT,2,276786
PACE_UT,2,276787
PACE_UT,2,276788
PACE_UT,2,276789
PACE_UT,2,276790
PACE_UT,2,276791
PACE_UT,2,276792
PACE_UT,2,276793
PACE_UT,2,276794
PACE_UT,2,276795
PACE_UT,2,276796
PACE_UT,2,276797
PACE_UT,2,276798
PACE_UT,2,276799
PACE_UT,2,276800
PACE_UT,2,276801
PACE_UT,2,276802
PACE_UT,2,276803
PACE_UT,2,276804
PACE_UT,2,276805
PACE_UT,2,277735
PACE_UT,2,277736
PACE_UT,2,277737
PACE_UT,2,277738
PACE_UT,2,277739
PACE_UT,2,277740
PACE_UT,2,277741
PACE_UT,2,277742
PACE_UT,2,277743
PACE_UT,2,277744
PACE_UT,2,277745
PACE_UT,2,277746
PACE_UT,2,277747
PACE_UT,2,277748
PACE_UT,2,277749
PACE_UT,2,277750
PACE_UT,2,277751
PACE_UT,2,277752
PACE_UT,2,277753
PACE_UT,2,277754
PACE_UT,2,277755
PACE_UT,2,277756
PACE_UT,2,277757
PACE_UT,2,277758
PACE_UT,2,277759
PACE_UT,2,277760
PACE_UT,2,277761
PACE_UT,2,277762
PACE_UT,2,277763
PACE_UT,2,277764
PACE_UT,2,277765
PACE_UT,2,277766
PACE_UT,2,277767
PACE_UT,2,277768
PACE_UT,2,278694
PACE_UT,2,278695
PACE_UT,2,278696
PACE_UT,2,278697
PACE_UT,2,278698
PACE_UT,2,278699
PACE_UT,2,278700
PACE_UT,2,278701
PACE_UT,2,278702
PACE_UT,2,278703
PACE_UT,2,278704
PACE_UT,2,278705
PACE_UT,2,278706
PACE_UT,2,278707
PACE_UT,2,278708
PACE_UT,2,278709
PACE_UT,2,278710
PACE_UT,2,278711
PACE_UT,2,278712
PACE_UT,2,278713
PACE_UT,2,278714
PACE_UT,2,278715
PACE_UT,2,278716
PACE_UT,2,278717
PACE_UT,2,278718
PACE_UT,2,278719
PACE_UT,2,278720
PACE_UT,2,278721
