region,clusters,gid
PACE_UT,2,467060
PACE_UT,2,468017
PACE_UT,2,468018
PACE_UT,2,468019
PACE_UT,2,468020
PACE_UT,2,468021
PACE_UT,2,468022
PACE_UT,2,468974
PACE_UT,2,468975
PACE_UT,2,468976
PACE_UT,2,468977
PACE_UT,2,468978
PACE_UT,2,468979
PACE_UT,2,468980
PACE_UT,2,468981
PACE_UT,2,468982
PACE_UT,2,468983
PACE_UT,2,469930
PACE_UT,2,469931
PACE_UT,2,469932
PACE_UT,2,469933
PACE_UT,2,469934
PACE_UT,2,469935
PACE_UT,2,469936
PACE_UT,2,469937
PACE_UT,2,469938
PACE_UT,2,469939
PACE_UT,2,469940
PACE_UT,2,469941
PACE_UT,2,469942
PACE_UT,2,469943
PACE_UT,2,469944
PACE_UT,2,469945
PACE_UT,2,470888
PACE_UT,2,470889
PACE_UT,2,470890
PACE_UT,2,470891
PACE_UT,2,470892
PACE_UT,2,470893
PACE_UT,2,470894
PACE_UT,2,470895
PACE_UT,2,470896
PACE_UT,2,470897
PACE_UT,2,470898
PACE_UT,2,470899
PACE_UT,2,470900
PACE_UT,2,470901
PACE_UT,2,470902
PACE_UT,2,470903
PACE_UT,2,470904
PACE_UT,2,470905
PACE_UT,2,470906
PACE_UT,2,470907
PACE_UT,2,471846
PACE_UT,2,471847
PACE_UT,2,471848
PACE_UT,2,471849
PACE_UT,2,471850
PACE_UT,2,471851
PACE_UT,2,471852
PACE_UT,2,471853
PACE_UT,2,471854
PACE_UT,2,471855
PACE_UT,2,471856
PACE_UT,2,471857
PACE_UT,2,471858
PACE_UT,2,471859
PACE_UT,2,471860
PACE_UT,2,471861
PACE_UT,2,471862
PACE_UT,2,471863
PACE_UT,2,471864
PACE_UT,2,471865
PACE_UT,2,471866
PACE_UT,2,471867
PACE_UT,2,471868
PACE_UT,2,471869
PACE_UT,2,472804
PACE_UT,2,472805
PACE_UT,2,472806
PACE_UT,2,472807
PACE_UT,2,472808
PACE_UT,2,472809
PACE_UT,2,472810
PACE_UT,2,472811
PACE_UT,2,472812
PACE_UT,2,472813
PACE_UT,2,472814
PACE_UT,2,472815
PACE_UT,2,472816
PACE_UT,2,472817
PACE_UT,2,472818
PACE_UT,2,472819
PACE_UT,2,472820
PACE_UT,2,472821
PACE_UT,2,472822
PACE_UT,2,472823
PACE_UT,2,472824
PACE_UT,2,472825
PACE_UT,2,472826
PACE_UT,2,472827
PACE_UT,2,472828
PACE_UT,2,472829
PACE_UT,2,472830
PACE_UT,2,472831
PACE_UT,2,472832
PACE_UT,2,473762
PACE_UT,2,473763
PACE_UT,2,473764
PACE_UT,2,473765
PACE_UT,2,473766
PACE_UT,2,473767
PACE_UT,2,473768
PACE_UT,2,473769
PACE_UT,2,473770
PACE_UT,2,473771
PACE_UT,2,473772
PACE_UT,2,473773
PACE_UT,2,473774
PACE_UT,2,473775
PACE_UT,2,473776
PACE_UT,2,473777
PACE_UT,2,473778
PACE_UT,2,473779
PACE_UT,2,473780
PACE_UT,2,473781
PACE_UT,2,473782
PACE_UT,2,473783
PACE_UT,2,473784
PACE_UT,2,473785
PACE_UT,2,473786
PACE_UT,2,473787
PACE_UT,2,473788
PACE_UT,2,473789
PACE_UT,2,473790
PACE_UT,2,473791
PACE_UT,2,473792
PACE_UT,2,473793
PACE_UT,2,473794
PACE_UT,2,473795
PACE_UT,2,474721
PACE_UT,2,474722
PACE_UT,2,474723
PACE_UT,2,474724
PACE_UT,2,474725
PACE_UT,2,474726
PACE_UT,2,474727
PACE_UT,2,474728
PACE_UT,2,474729
PACE_UT,2,474730
PACE_UT,2,474731
PACE_UT,2,474732
PACE_UT,2,474733
PACE_UT,2,474734
PACE_UT,2,474735
PACE_UT,2,474736
PACE_UT,2,474737
PACE_UT,2,474738
PACE_UT,2,474739
PACE_UT,2,474740
PACE_UT,2,474741
PACE_UT,2,474742
PACE_UT,2,474743
PACE_UT,2,474744
PACE_UT,2,474745
PACE_UT,2,474746
PACE_UT,2,474747
PACE_UT,2,474748
PACE_UT,2,474749
PACE_UT,2,474750
PACE_UT,2,474751
PACE_UT,2,474752
PACE_UT,2,474753
PACE_UT,2,474754
PACE_UT,2,474755
PACE_UT,2,474756
PACE_UT,2,474757
PACE_UT,2,474758
PACE_UT,2,475680
PACE_UT,2,475681
PACE_UT,2,475682
PACE_UT,2,475683
PACE_UT,2,475684
PACE_UT,2,475685
PACE_UT,2,475686
PACE_UT,2,475687
PACE_UT,2,475688
PACE_UT,2,475689
PACE_UT,2,475690
PACE_UT,2,475691
PACE_UT,2,475692
PACE_UT,2,475693
PACE_UT,2,475694
PACE_UT,2,475695
PACE_UT,2,475696
PACE_UT,2,475697
PACE_UT,2,475698
PACE_UT,2,475699
PACE_UT,2,475700
PACE_UT,2,475701
PACE_UT,2,475702
PACE_UT,2,475703
PACE_UT,2,475704
PACE_UT,2,475705
PACE_UT,2,475706
PACE_UT,2,475707
PACE_UT,2,475708
PACE_UT,2,475709
PACE_UT,2,475710
PACE_UT,2,475711
PACE_UT,2,475712
PACE_UT,2,475713
PACE_UT,2,475714
PACE_UT,2,475715
PACE_UT,2,475716
PACE_UT,2,475717
PACE_UT,2,475718
PACE_UT,2,475719
PACE_UT,2,475720
PACE_UT,2,475721
PACE_UT,2,476640
PACE_UT,2,476641
PACE_UT,2,476642
PACE_UT,2,476643
PACE_UT,2,476644
PACE_UT,2,476645
PACE_UT,2,476646
PACE_UT,2,476647
PACE_UT,2,476648
PACE_UT,2,476649
PACE_UT,2,476650
PACE_UT,2,476651
PACE_UT,2,476652
PACE_UT,2,476653
PACE_UT,2,476654
PACE_UT,2,476655
PACE_UT,2,476656
PACE_UT,2,476657
PACE_UT,2,476658
PACE_UT,2,476659
PACE_UT,2,476660
PACE_UT,2,476661
PACE_UT,2,476662
PACE_UT,2,476663
PACE_UT,2,476664
PACE_UT,2,476665
PACE_UT,2,476666
PACE_UT,2,476667
PACE_UT,2,476668
PACE_UT,2,476669
PACE_UT,2,476670
PACE_UT,2,476671
PACE_UT,2,476672
PACE_UT,2,476673
PACE_UT,2,476674
PACE_UT,2,476675
PACE_UT,2,476676
PACE_UT,2,476677
PACE_UT,2,476678
PACE_UT,2,476679
PACE_UT,2,476680
PACE_UT,2,476681
PACE_UT,2,476682
PACE_UT,2,476683
PACE_UT,2,476684
PACE_UT,2,476685
PACE_UT,2,476686
PACE_UT,2,477599
PACE_UT,2,477600
PACE_UT,2,477601
PACE_UT,2,477602
PACE_UT,2,477603
PACE_UT,2,477604
PACE_UT,2,477605
PACE_UT,2,477606
PACE_UT,2,477607
PACE_UT,2,477608
PACE_UT,2,477609
PACE_UT,2,477610
PACE_UT,2,477611
PACE_UT,2,477612
PACE_UT,2,477613
PACE_UT,2,477614
PACE_UT,2,477615
PACE_UT,2,477616
PACE_UT,2,477617
PACE_UT,2,477618
PACE_UT,2,477619
PACE_UT,2,477620
PACE_UT,2,477621
PACE_UT,2,477622
PACE_UT,2,477623
PACE_UT,2,477624
PACE_UT,2,477625
PACE_UT,2,477626
PACE_UT,2,477627
PACE_UT,2,477628
PACE_UT,2,477629
PACE_UT,2,477630
PACE_UT,2,477631
PACE_UT,2,477632
PACE_UT,2,477633
PACE_UT,2,477634
PACE_UT,2,477635
PACE_UT,2,477636
PACE_UT,2,477637
PACE_UT,2,477638
PACE_UT,2,477639
PACE_UT,2,477640
PACE_UT,2,477641
PACE_UT,2,477642
PACE_UT,2,477643
PACE_UT,2,477644
PACE_UT,2,477645
PACE_UT,2,477646
PACE_UT,2,477647
PACE_UT,2,477648
PACE_UT,2,477649
PACE_UT,2,477650
PACE_UT,2,478560
PACE_UT,2,478561
PACE_UT,2,478562
PACE_UT,2,478563
PACE_UT,2,478564
PACE_UT,2,478565
PACE_UT,2,478566
PACE_UT,2,478567
PACE_UT,2,478568
PACE_UT,2,478569
PACE_UT,2,478570
PACE_UT,2,478571
PACE_UT,2,478572
PACE_UT,2,478573
PACE_UT,2,478574
PACE_UT,2,478575
PACE_UT,2,478576
PACE_UT,2,478577
PACE_UT,2,478578
PACE_UT,2,478579
PACE_UT,2,478580
PACE_UT,2,478581
PACE_UT,2,478582
PACE_UT,2,478583
PACE_UT,2,478584
PACE_UT,2,478585
PACE_UT,2,478586
PACE_UT,2,478587
PACE_UT,2,478588
PACE_UT,2,478589
PACE_UT,2,478590
PACE_UT,2,478591
PACE_UT,2,478592
PACE_UT,2,478593
PACE_UT,2,478594
PACE_UT,2,478595
PACE_UT,2,478596
PACE_UT,2,478597
PACE_UT,2,478598
PACE_UT,2,478599
PACE_UT,2,478600
PACE_UT,2,478601
PACE_UT,2,478602
PACE_UT,2,478603
PACE_UT,2,478604
PACE_UT,2,478605
PACE_UT,2,478606
PACE_UT,2,478607
PACE_UT,2,478608
PACE_UT,2,478609
PACE_UT,2,478610
PACE_UT,2,478611
PACE_UT,2,478612
PACE_UT,2,478613
PACE_UT,2,478614
PACE_UT,2,478615
PACE_UT,2,478616
PACE_UT,2,479520
PACE_UT,2,479521
PACE_UT,2,479522
PACE_UT,2,479523
