class,sub_type,mean_res_min,mean_res_max
1,fixed,9.66,1000
2,fixed,9.06,9.66
3,fixed,8.88,9.06
4,fixed,8.61,8.88
5,fixed,7.63,8.61
6,fixed,6.94,7.63
7,fixed,0,6.94
8,floating,9.97,1000
9,floating,9.86,9.97
10,floating,9.72,9.86
11,floating,9.42,9.72
12,floating,8.38,9.42
13,floating,7.28,8.38
14,floating,0,7.28
